timestamp,user_id,ip,user_agent,device_id,success,country,region,city
2025-07-06T17:36:13.478724+00:00,u1562,198.51.100.122,Mozilla/5.0 (Macintosh; Intel Mac OS X),dev-1110,1,DE,MA,Seattle
2025-06-26T09:47:13.478724+00:00,u779,203.0.113.15,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),dev-1078,0,GB,MH,Mumbai
2025-07-18T19:19:13.478724+00:00,u1756,203.0.113.3,Mozilla/5.0 (X11; Linux x86_64),dev-966,1,US,MA,Mumbai
2025-06-27T05:09:13.478724+00:00,u94,198.51.100.88,Mozilla/5.0 (X11; Linux x86_64),dev-587,1,US,MH,Mumbai
2025-07-31T07:53:13.478724+00:00,u1877,198.51.100.122,Mozilla/5.0 (Windows NT 10.0; Win64; x64),dev-439,1,DE,MH,Toronto
2025-07-28T22:30:13.478724+00:00,u31,198.51.100.169,Mozilla/5.0 (Macintosh; Intel Mac OS X),dev-289,1,US,MH,Toronto
2025-08-05T10:49:13.478724+00:00,u1779,198.51.100.98,Mozilla/5.0 (Windows NT 10.0; Win64; x64),dev-760,1,IN,CA,Vancouver
2025-07-22T11:58:13.478724+00:00,u1397,198.51.100.172,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),dev-672,1,US,BE,Austin
2025-06-26T09:16:13.478724+00:00,u839,198.51.100.41,Mozilla/5.0 (Macintosh; Intel Mac OS X),dev-918,1,AU,TX,Toronto
2025-06-27T00:15:13.478724+00:00,u1047,198.51.100.13,Mozilla/5.0 (X11; Linux x86_64),dev-429,1,AU,BC,San Jose
2025-08-09T22:25:13.478724+00:00,u1155,198.51.100.194,Mozilla/5.0 (Macintosh; Intel Mac OS X),dev-637,1,US,WA,Vancouver
2025-06-26T11:22:13.478724+00:00,u858,198.51.100.197,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),dev-881,0,US,MH,San Jose
2025-07-06T19:47:13.478724+00:00,u1855,198.51.100.82,Mozilla/5.0 (Macintosh; Intel Mac OS X),dev-1499,1,AU,TX,New York
2025-07-13T14:45:13.478724+00:00,u263,198.51.100.166,Mozilla/5.0 (Macintosh; Intel Mac OS X),dev-387,1,DE,ON,Mumbai
2025-07-24T11:05:13.478724+00:00,u467,198.51.100.83,Mozilla/5.0 (Windows NT 10.0; Win64; x64),dev-660,1,AU,WA,New York
2025-07-11T15:22:13.478724+00:00,u431,198.51.100.109,Mozilla/5.0 (Windows NT 10.0; Win64; x64),dev-330,1,US,ON,Austin
2025-07-17T08:36:13.478724+00:00,u944,198.51.100.84,Mozilla/5.0 (Macintosh; Intel Mac OS X),dev-855,1,DE,NY,San Jose
2025-07-22T03:38:13.478724+00:00,u1457,198.51.100.139,Mozilla/5.0 (Windows NT 10.0; Win64; x64),dev-425,1,US,TX,Boston
2025-07-31T10:40:13.478724+00:00,u1241,203.0.113.11,Mozilla/5.0 (Macintosh; Intel Mac OS X),dev-859,0,US,TX,Mumbai
2025-07-13T09:09:13.478724+00:00,u435,198.51.100.81,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),dev-1068,1,GB,TX,Mumbai
2025-07-04T01:26:13.478724+00:00,u732,198.51.100.128,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),dev-1145,1,US,BE,Toronto
2025-08-02T09:23:13.478724+00:00,u1645,203.0.113.25,Mozilla/5.0 (Macintosh; Intel Mac OS X),dev-718,0,AU,NY,Toronto
2025-07-07T02:01:13.478724+00:00,u1178,203.0.113.9,Mozilla/5.0 (Macintosh; Intel Mac OS X),dev-593,0,AU,TX,Seattle
2025-07-26T07:06:13.478724+00:00,u378,198.51.100.33,Mozilla/5.0 (Windows NT 10.0; Win64; x64),dev-34,1,AU,NY,San Jose
2025-06-29T17:30:13.478724+00:00,u861,198.51.100.13,Mozilla/5.0 (Macintosh; Intel Mac OS X),dev-184,1,US,NY,Seattle
2025-08-03T00:22:13.478724+00:00,u262,198.51.100.161,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),dev-28,1,GB,ON,New York
2025-06-27T15:00:13.478724+00:00,u1133,198.51.100.39,Mozilla/5.0 (X11; Linux x86_64),dev-672,1,AU,CA,Mumbai
